Time UTC,Latitude,Longitude,Altitude,Current,Voltage
2024-09-17T13:07:23.134839+01:00,51.4055927,-2.819365,0.368,12129,201
2024-09-17T13:07:28.141875+01:00,51.4055928,-2.8193648,0.317,12127,200
2024-09-17T13:07:33.148613+01:00,51.4055926,-2.8193647,0.341,12122,199
2024-09-17T13:07:38.156562+01:00,51.4055922,-2.8193645,0.29,12130,201
2024-09-17T13:07:44.170116+01:00,51.4055918,-2.8193647,0.341,12132,201
2024-09-17T13:07:49.176272+01:00,51.4055913,-2.8193652,0.212,12130,201
2024-09-17T13:07:54.184215+01:00,51.4055912,-2.8193659,0.261,12130,201
2024-09-17T13:08:00.264224+01:00,51.405591,-2.8193665,0.287,12129,201
2024-09-17T13:08:05.271622+01:00,51.4055897,-2.8193656,0.344,12122,201
2024-09-17T13:08:10.280003+01:00,51.4055891,-2.8193649,0.44,12124,201
2024-09-17T13:08:15.289729+01:00,51.4055884,-2.8193643,0.382,12127,201
